DATE,gini
1970-01-01,0.394
1971-01-01,0.396
1972-01-01,0.401
1973-01-01,0.400
1974-01-01,0.395
1975-01-01,0.397
1976-01-01,0.398
1977-01-01,0.402
1978-01-01,0.402
1979-01-01,0.404
1980-01-01,0.403
1981-01-01,0.406
1982-01-01,0.412
1983-01-01,0.414
1984-01-01,0.415
1985-01-01,0.419
1986-01-01,0.425
1987-01-01,0.426
1988-01-01,0.426
1989-01-01,0.431
1990-01-01,0.428
1991-01-01,0.428
1992-01-01,0.433
1993-01-01,0.454
1994-01-01,0.456
1995-01-01,0.450
1996-01-01,0.455
1997-01-01,0.459
1998-01-01,0.456
1999-01-01,0.458
2000-01-01,0.462
2001-01-01,0.466
2002-01-01,0.462
2003-01-01,0.464
2004-01-01,0.466
2005-01-01,0.469
2006-01-01,0.470
2007-01-01,0.463
2008-01-01,0.466
2009-01-01,0.468
2010-01-01,0.470
2011-01-01,0.477
2012-01-01,0.477
2013-01-01,0.482
2014-01-01,0.480
2015-01-01,0.479
2016-01-01,0.481
2017-01-01,0.489
