DATE,MV
1970-01-01,1.7850000000000000
1971-01-01,1.7282500000000000
1972-01-01,1.6877500000000000
1973-01-01,1.7137500000000000
1974-01-01,1.7545000000000000
1975-01-01,1.7490000000000000
1976-01-01,1.7247500000000000
1977-01-01,1.7045000000000000
1978-01-01,1.7775000000000000
1979-01-01,1.8425000000000000
1980-01-01,1.8552500000000000
1981-01-01,1.9102500000000000
1982-01-01,1.8267500000000000
1983-01-01,1.7685000000000000
1984-01-01,1.8197500000000000
1985-01-01,1.7952500000000000
1986-01-01,1.7535000000000000
1987-01-01,1.7447500000000000
1988-01-01,1.7862500000000000
1989-01-01,1.8470000000000000
1990-01-01,1.8505000000000000
1991-01-01,1.8425000000000000
1992-01-01,1.9152500000000000
1993-01-01,1.9940000000000000
1994-01-01,2.0922500000000000
1995-01-01,2.1487500000000000
1996-01-01,2.1655000000000000
1997-01-01,2.1905000000000000
1998-01-01,2.1600000000000000
1999-01-01,2.1362500000000000
2000-01-01,2.1450000000000000
2001-01-01,2.0387500000000000
2002-01-01,1.9602500000000000
2003-01-01,1.9195000000000000
2004-01-01,1.9527500000000000
2005-01-01,1.9987500000000000
2006-01-01,2.0127500000000000
2007-01-01,1.9840000000000000
2008-01-01,1.8925000000000000
2009-01-01,1.7192500000000000
2010-01-01,1.7402500000000000
2011-01-01,1.6825000000000000
2012-01-01,1.6140000000000000
2013-01-01,1.5665000000000000
2014-01-01,1.5405000000000000
2015-01-01,1.5145000000000000
2016-01-01,1.4565000000000000
2017-01-01,1.4367500000000000
