DATE,TRADEVOL
1970-01-01,44.9844266956275000
1971-01-01,47.6287171005790750
1972-01-01,51.0163099094362500
1973-01-01,53.7351954679882000
1974-01-01,51.2977174289126000
1975-01-01,50.9144816216522000
1976-01-01,53.5276614660345500
1977-01-01,55.4559968326804750
1978-01-01,57.3666013923106000
1979-01-01,57.5697028779000750
1980-01-01,54.0933905543326000
1981-01-01,53.3027457374017750
1982-01-01,51.5951633320683500
1983-01-01,54.6852032512217000
1984-01-01,57.6311099174528500
1985-01-01,59.5719615121875000
1986-01-01,61.6423355968900250
1987-01-01,63.1872316151647000
1988-01-01,65.0307649605034250
1989-01-01,66.1976397311124500
1990-01-01,65.9303279803321750
1991-01-01,63.6324622588087250
1992-01-01,64.5100859847265250
1993-01-01,67.2072741029602250
1994-01-01,71.1549209887037750
1995-01-01,73.0662972006481000
1996-01-01,75.3146248461281250
1997-01-01,77.1904991011029000
1998-01-01,79.4540522526723500
1999-01-01,84.3284468051497250
2000-01-01,86.7784668849226000
2001-01-01,86.7425259294622500
2002-01-01,87.2604352063651000
2003-01-01,88.8952710671408250
2004-01-01,91.8717107075226500
2005-01-01,94.6806804975670750
2006-01-01,96.4586000923085250
2007-01-01,96.6870006392846500
2008-01-01,91.5082437260280000
2009-01-01,84.4449544612334750
2010-01-01,87.7701297581724000
2011-01-01,91.4592185980823750
2012-01-01,93.8590184769893500
2013-01-01,95.9859393395273000
2014-01-01,98.1800472489763000
2015-01-01,99.9088602038005250
2016-01-01,101.1651701105475000
2017-01-01,103.9135928262340000
